38,Department of Health - Commercial Medicines Unit,Home Delivery Service - Home Parenteral Nutrition - National - (01-2015),Clinical and medical life sciences,CM/MSR/12/5388,Medium,0.00000,0.00000,43000000.00000,0.00000,0.00000,0.00000,0.00000,43000000.00000,England,,,,01 Jan 15 00:00,Framework,31 Dec 14 00:00,23 Jul 13 11:07,23 Jul 13 11:07,liz.payne@cmu.nhs.uk,60,Department of Health,0,3369220,1036199,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1036199
39,CMU tendering on behalf of the NHS,   Generic Pharmaceuticals (Orals 100%),Clinical and medical life sciences,CM/PHG/12/5323/W,High,0.00000,60000000.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,,03 Feb 14 00:00,Open,03 Mar 14 00:00,29 Mar 13 00:00,10 Apr 12 14:50,Tony.Brown@cmu.nhs.uk,60,Department of Health,0,33600000|3369000,465576,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=465576
40,CMU tendering on behalf of the DH,   DTAP-IPV+HiB (primary) vaccine (04-2016),Clinical and medical life sciences,CM/PHV/12/5356,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,United Kingdom,UK,,NONE,07 Jan 15 00:00,Open,01 Mar 15 00:00,29 Mar 13 00:00,10 Apr 12 14:56,Natalie.Howell@cmu.nhs.uk,60,Department of Health,0,3365160,465615,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=465615
41,Department of Health - Commercial Medicines Unit,DTAP-IPV (pre-school) vaccine (04/2016),Clinical and medical life sciences,CM/PHV/12/5355,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Apr 16 00:00,Open,03 Mar 15 00:00,15 Nov 13 14:10,15 Nov 13 14:10,natalie.howell@cmu.nhs.uk,60,Department of Health,0,3365160,1180478,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1180478
42,Department of Health,Herpes zoster (shingles) vaccine (10-2015),Clinical and medical life sciences,CM/PHV/13/5407,High,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,England,,,,01 Oct 15 00:00,Open,15 Jul 14 00:00,20 Nov 13 15:39,20 Nov 13 15:39,natalie.howell@cmu.nhs.uk,60,Department of Health,0,3365160,1185905,1028731,875542,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1185905
43,Department of Health - Commercial Medicines Unit,Generics Clozapine,Clinical and medical life sciences,CM/PHG/11/5258,High,0.00000,0.00000,9000000.00000,9000000.00000,0.00000,0.00000,0.00000,18000000.00000,England,,,,01 Apr 14 00:00,Framework,31 Mar 14 00:00,21 Nov 13 15:49,21 Nov 13 15:49,pharma@cmu.nhs.uk,60,Department of Health,0,3360000,1187640,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1187640
44,Department of Health - Commercial Medicines Unit,   Generic Pharmaceuticals (Sevoflurane and Vaporisers),Clinical and medical life sciences,CM/PHG/12/5324/W,High,0.00000,0.00000,14000000.00000,14000000.00000,0.00000,0.00000,0.00000,28000000.00000,United Kingdom,UK,,,01 Apr 14 00:00,Framework,31 Mar 14 00:00,21 Nov 13 15:53,21 Nov 13 15:53,rachel.williams@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1187641,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1187641
45,Department of Health - Commercial Medicines Unit,Specialised - Treatments for Bleeding Disorders Wave 2a,Clinical and medical life sciences,CM/PHS/11/5263,High,0.00000,0.00000,90000000.00000,90000000.00000,0.00000,0.00000,0.00000,180000000.00000,England,,,,01 Jul 14 00:00,Framework,30 Jun 14 00:00,21 Nov 13 15:58,21 Nov 13 15:58,alison.greenwood@cmu.nhs.uk,60,Department of Health,0,33620000|33141530|3314151,1187646,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1187646
46,Department of Health - Commercial Medicines Unit,   National Generic Transition Products 2014_2,Clinical and medical life sciences,CM/PHG/12/5334,Medium,0.00000,0.00000,5265028.00000,0.00000,0.00000,0.00000,0.00000,5265028.00000,United Kingdom,UK,,,01 Jul 14 00:00,Framework,30 Jun 14 00:00,21 Nov 13 16:04,21 Nov 13 16:04,Ian.Allen@cmu.nhs.uk,60,Department of Health,0,33690000|3360000,1187648,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1187648
47,Department of Health - Commercial Medicines Unit,Branded - NHS North of England Branded Medicines Tranche B March 2016,Clinical and medical life sciences,CM/PHR/13/5419,High,0.00000,0.00000,0.00000,0.00000,213941000.00000,213941000.00000,0.00000,427882000.00000,England,,,North of England,01 Mar 16 00:00,Framework,01 Feb 16 00:00,12 Dec 13 11:03,12 Dec 13 11:03,supplier.helpdesk@dh.gsi.gov.uk,60,Department of Health,0,33600000|3369300,1214841,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1214841
48,Department of Health - Commercial Medicines Unit,Branded - NHS South of England Branded Medicines Tranche B Sept 2014,Clinical and medical life sciences,CM/PHR/13/5420,High,0.00000,0.00000,119900000.00000,119900000.00000,0.00000,0.00000,0.00000,239800000.00000,England,,,South of England,01 Sep 14 00:00,Framework,31 Aug 14 00:00,12 Dec 13 11:10,12 Dec 13 11:10,,60,Department of Health,0,33600000|3369300,1214843,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1214843
49,Department of Health - Commercial Medicines Unit,Branded - NHS South of England Branded Medicines Tranche A Sept 2015,Clinical and medical life sciences,CM/PHR/13/5421,High,0.00000,0.00000,0.00000,99600000.00000,99600000.00000,0.00000,0.00000,199200000.00000,England,,,South of England region,01 Sep 15 00:00,Framework,31 Aug 15 00:00,12 Dec 13 11:26,12 Dec 13 11:26,supplier.helpdesk@dh.gsi.gov.uk,60,Department of Health,0,33600000|3369300,1214844,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1214844
50,Driver & Vehicle Licensing Agency,Provision of a Managed Medical Service,Clinical and medical life sciences,PS/12/43,Medium,0.00000,0.00000,0.00000,11000000.00000,11000000.00000,11000000.00000,11000000.00000,0.00000,United Kingdom,UK,,,03 Nov 14 00:00,Open,01 May 14 00:00,21 Nov 13 17:02,21 Nov 13 17:02,samantha.hughes@dvla.gsi.gov.uk,95,Driver & Vehicle Licensing Agency,0,8510000,1174711,,,65,Department for Transport,65,Department for Transport,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1174711
51,Department of Health - Commercial Medicines Unit,Branded - NHS London Branded Medicines Tranche A Sept 2014,Clinical and medical life sciences,CM/PHR/13/5424,High,0.00000,0.00000,30000000.00000,30000000.00000,0.00000,0.00000,0.00000,60000000.00000,London,UKI,,,01 Sep 14 00:00,Framework,31 Aug 14 00:00,11 Dec 13 15:20,11 Dec 13 15:20,,60,Department of Health,0,33600000|3369300,1212737,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1212737
52,Department of Health - Commercial Medicines Unit,Branded - NHS London Branded Medicines Tranche A Sept 2016,Clinical and medical life sciences,CM/PHR/13/5426,High,0.00000,0.00000,0.00000,0.00000,151000000.00000,151000000.00000,0.00000,302000000.00000,London,UKI,,,01 Sep 16 00:00,Framework,31 Aug 16 00:00,11 Dec 13 15:26,11 Dec 13 15:26,,60,Department of Health,0,33600000|3369300,1212744,,,60,Department of Health,60,Department of Health,http://www.contractsfinder.businesslink.gov.uk/Common/View%20Notice.aspx?NoticeId=1212744
