Framework,Lot,Supplier,Customer,For_Month,Product_Service_Description,Total_Charge
G-Cloud III,3,Agilisys Ltd,Wigan Metropolitan Borough Council,2013-07-01l,Digital Platform,424000
G-Cloud Services II,4,Agilisys Ltd,Thurrock Borough Council,2013-03-01l,Consultancy support for Thurrock On-Line Programme,57400
G-Cloud Services II,3,Agilisys Ltd,Thurrock Borough Council,2013-03-01l,Platform for online transactions,487620
G-Cloud Services II,4,AIMES,Liverpool Heart and Chest Hospital NHS Foundation Trust,2013-03-01l,Set-Up,3980
G-Cloud Services II,4,AIMES,Liverpool Heart and Chest Hospital NHS Foundation Trust,2013-03-01l,Set-Up,4500
G-Cloud Services II,4,AIMES,Liverpool Heart and Chest Hospital NHS Foundation Trust,2013-04-01l,Leased Line,9000
G-Cloud Services II,4,AIMES,Liverpool Heart and Chest Hospital NHS Foundation Trust,2013-04-01l,Colocation,22417.27
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-05-01l,Consultant,1052.63
G-Cloud Services II,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,3191.4
G-Cloud Services II,4,Alpine Resourcing Limited,BBC Parliament,2013-02-01l,Project / Programme Management,6829.46
G-Cloud Services II,4,Alpine Resourcing Limited,HM Prison Service,2013-01-01l,Project / Programme Management,88000
G-Cloud Services II,4,Alpine Resourcing Limited,HM Prison Service,2013-02-01l,Project / Programme Management,3510.54
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-03-01l,Eric Bohl,2105.26
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-03-01l,Eric Bohl,2105.26
G-Cloud Services II,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Cordelle Cabey - PO Number YJB5850,3031.83
G-Cloud Services II,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Service Delivery for Y2A National Portal Roll Out Programme - Ian Hutchinson,70213
G-Cloud Services II,4,Alpine Resourcing Limited,Ministry of Justice,2013-04-01l,Project / Programme Management,3191.4
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2012-10-01l,Specialist Cloud Services,25000
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2012-11-01l,Specialist Cloud Services,17101.03
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2012-12-01l,Specialist Cloud Services,41875
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2012-12-01l,Specialist Cloud Services,108179.94
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-01-01l,SCS-SI,9375
G-Cloudi,4,Alpine Resourcing Limited,HM Prison Service,2013-01-01l,SCS-PM,3085.17
G-Cloudi,4,Alpine Resourcing Limited,HM Prison Service,2013-01-01l,SCS-D,7180.8
G-Cloudi,4,Alpine Resourcing Limited,HM Prison Service,2013-01-01l,SCS-D,7579.8
G-Cloudi,4,Alpine Resourcing Limited,HM Prison Service,2013-01-01l,SCS-PM,8138.25
G-Cloudi,4,Alpine Resourcing Limited,HM Prison Service,2013-01-01l,SCS-Y2A,44090
G-Cloudi,4,Alpine Resourcing Limited,HM Prison Service,2013-01-01l,SCS-Y2A,213446.66
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-02-01l,Consultant,9375
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-02-01l,Consultant,11875
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-02-01l,Consultant,11875
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,4255.4
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,4468.17
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,5904.28
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,6223.43
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,6595.8
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,8590.44
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,9095.68
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,9095.68
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,10851
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,10851
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,11117.04
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-02-01l,Consultant,80000
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-03-01l,Consultant,11875
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-03-01l,Consultant,12500
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-03-01l,Consultant,12500
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-03-01l,Consultant,12500
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Consultant,4042.63
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Consultant,5265.98
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Consultant,6595.8
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Consultant,9095.68
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Consultant,10106.4
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-03-01l,Consultant,10851
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-04-01l,Consultant Fees,11875
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-04-01l,Consultant Fees,4148.95
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-04-01l,Consultant Fees,4468.17
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-04-01l,Consultant Fees,5606.43
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-04-01l,Consultant Fees,10611.72
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-04-01l,Consultant Fees,11393.55
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-05-01l,Cloud Adoption (Communities and Development services).,10000
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-05-01l,Cloud Adoption (Communities and Development services).,9375
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,10053.12
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Service Delivery for Y2A National Portal Roll Out Programme,57019.2
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,4255.4
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,11393.55
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,10611.72
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,6266.01
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,9574.4
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,6702.15
G-Cloud III,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Consultant,9574.4
G-Cloud III,4,Alpine Resourcing Limited,Ministry of Justice,2013-05-01l,Consultant,4308.48
G-Cloud III,4,Alpine Resourcing Limited,Ministry of Justice,2013-07-01l,Consultancy,4255.3
G-Cloud III,4,Alpine Resourcing Limited,Ministry of Justice,2013-07-01l,Asset Plus Managed Service,74781.75
G-Cloud III,4,Alpine Resourcing Limited,Ministry of Justice,2013-08-01l,Asset Plus Managed Service - August 2013,62898.8
G-Cloud Services II,4,Alpine Resourcing Limited,Department for Environment Food And Rural Affairs,2013-07-01l,Consultant,7136
G-Cloud Services II,4,Alpine Resourcing Limited,Department for Environment Food And Rural Affairs,2013-06-01l,Project / Programme Management,16056
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-06-01l,Project / Programme Management,2105.26
G-Cloud Services II,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Project / Programme Management,2393.55
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-07-01l,Consultant,2105.26
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-08-01l,Consultant,2105.26
G-Cloud Services II,4,Alpine Resourcing Limited,Department for Environment Food And Rural Affairs,2013-08-01l,Consultant,19624
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-06-01l,Cloud Adoption (Communities and Development services).,12500
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-06-01l,Cloud Adoption (Communities and Development services).,12500
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Consultant,3563.9
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Consultant,9765.9
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Consultant,10106.4
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Consultant,5936.22
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Consultant,4787.2
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-06-01l,Consultant,6383
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-07-01l,Cloud Adoption (Communities and Development services).,12500
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-07-01l,Service Delivery for Y2A National Portal Roll Out Programme,63617.08
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-07-01l,Service Delivery for Y2A National Portal Roll Out Programme,67766
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-08-01l,Cloud Adoption (Communities and Development services).,14375
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-08-01l,Cloud Adoption (Communities and Development services).,14375
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-08-01l,Cloud Adoption (Communities and Development services).,10000
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-08-01l,Service Delivery for Y2A National Portal Roll Out Programme,67766
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-08-01l,Service Delivery for Y2A National Portal Roll Out Programme,-67766
G-Cloudi,4,Alpine Resourcing Limited,Ministry of Justice,2013-09-01l,Service Delivery for Y2A National Portal Roll Out Programme,84897.24
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-09-01l,Cloud Adoption (Communities and Development services).,5000
G-Cloudi,4,Alpine Resourcing Limited,Cabinet Office,2013-09-01l,Cloud Adoption (Communities and Development services).,6875
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-09-01l,Consultant,1578.95
G-Cloud Services II,4,Alpine Resourcing Limited,Department for Environment Food And Rural Affairs,2013-09-01l,Consultant,18732
G-Cloud III,4,Affinity Digital (Tech) Ltd,Government Digital Service,2013-09-01l,Design/Development/Project management & administration) for Cloudstore,11850
G-Cloud III,4,Affinity Digital (Tech) Ltd,Government Digital Service,2013-09-01l,Support & maintenance,3555
G-Cloud III,4,Alpine Resourcing Limited,Home Office,2013-09-01l,Consultant,5187
G-Cloud III,4,Alpine Resourcing Limited,Home Office,2013-09-01l,Consultant,10374
G-Cloud III,3,AMEE LTD,Government Procurement Service,2013-05-01l,Government Procurement Service,60000
G-Cloudi,3,AMEE LTD,Government Procurement Service,2012-04-01l,Service Analytics,25005
G-Cloud III,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-06-01l,Consultancy,1764
G-Cloud III,4,AMETHYST RISK MANAGEMENT LTD,Houses of Parliament,2013-06-01l,Consultancy,860
G-Cloud III,4,AMETHYST RISK MANAGEMENT LTD,UK Hydrographic Office,2013-06-01l,Consultancy,7740
G-Cloud III,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-07-01l,Consultancy,1365.5
G-Cloud III,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-08-01l,Consultancy,5160
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-05-01l,Consultancy,2282.31
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-07-01l,Project / Programme Management,4577
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,UK Hydrographic Office,2013-06-01l,Consultancy,15480
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,UK Hydrographic Office,2013-06-01l,Consultancy,2580
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-11-01l,Consultancy,8197.72
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-12-01l,Consultancy,2263.19
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-01-01l,Consultancy,1225.32
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-02-01l,Consultancy,1032
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-03-01l,Consultancy,1720
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-03-01l,Consultancy,7648.44
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-03-01l,Consultancy,7740
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-04-01l,Consultancy,2064
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-04-01l,Consultancy,2738.77
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-08-01l,Consultancy,3698
G-Cloudi,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-07-01l,Consultancy,7950.5
G-Cloudi,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-08-01l,Consultancy,2150
G-Cloudi,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-09-01l,Consultancy,10673.83
G-Cloudi,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-10-01l,Consultancy,8226.7
G-Cloudi,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-11-01l,Consultancy,8197.72
G-Cloudi,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2012-12-01l,Consultancy,2263.19
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-09-01l,Project / Programme Management,2755.7
G-Cloud Services II,4,AMETHYST RISK MANAGEMENT LTD,Government Procurement Service,2013-09-01l,Project / Programme Management,4473.8
G-Cloud III,4,Amor Business Technology Solutions Ltd,CalMac Ferries Limited,2013-07-01l,ITT Review and Development,1192.5
G-Cloud III,4,Amor Business Technology Solutions Ltd,CalMac Ferries Limited,2013-07-01l,ITT Review and Development,2745
G-Cloud III,4,Amor Business Technology Solutions Ltd,CalMac Ferries Limited,2013-08-01l,ITT Review and Development,12562.5
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Radnet Project Manager,1000
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,PAS Migration Support,4950
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Programme Support,5400
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Radnet Project Manager,5500
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,PAS Migration,7000
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Medical Records Specialist,7260
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,PAS Migration,8500
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Radnet Project Manager,9000
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Programme Support,9240
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,PAS Migration,9500
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Radnet Project Manager,10500
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,EDM Project Manager,11050
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,PACS Project Manager,11400
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,PMO Co-ordinator,11550
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,PAS Migration,11550
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-02-01l,Contract Support,14250
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,2915
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,3498
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,5596.8
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,6890
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,7420
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,8325
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,9328
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,9911
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,9911
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,10545
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,10600
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,10600
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,10600
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,PAS Migration,10600
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,11448
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,12487.5
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,12720
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,12987
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,14152.5
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-03-01l,Programme Manager,14430
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-05-01l,PAS Migration Build,9350
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-05-01l,PAS Migration Change,30000
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-05-01l,PAS Migration PMO,11660
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-05-01l,Programme and Contract Support,7875
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-05-01l,EDM/Path Manager,14300
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-05-01l,Radnet PM,11000
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Barts Health NHS Trust,2013-05-01l,PACS PM,14100
