ID,Framework,LotDescription,SupplierName,CustomerName,ReturnMonth,ProjectNameAndDescription,EvidencedSpend,Sector,SMEorLarge
13,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-04-01,Microsoft Office 365 (Plan E1),1363.5,Health,Large
14,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-04-01,Microsoft Office 365 (Plan E2),234,Health,Large
15,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-04-01,Microsoft Office 365 (Plan K1),1774.08,Health,Large
16,G-Cloud,3,SQUIZ UK LTD,HM Land Registry,2012-04-01,Professional Services - 'Gold Pack',4750,Central Government,Large
17,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-04-01,SharePoint Online (Plan 2),1494.8,Health,Large
18,G-Cloud,4,EMERGN LTD,Maritime and Coastguard Agency,2012-04-01,Agile Education,8000,Central Government,SME
19,G-Cloud,4,EMERGN LTD,Department for International Development,2012-04-01,Agile Training Course,5800,Central Government,SME
20,G-Cloud,4,BAYCLOUD SYSTEMS LTD,Cabinet Office,2012-04-01,Cookies Audit of direct.gov.uk,150,Central Government,SME
21,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-05-01,CatN vCluster Lite Subscription,5,Central Government,SME
22,G-Cloud,2,FUBRA LTD,Wales Office,2012-05-01,CatN vCluster Lite Subscription,10,Central Government,SME
23,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-05-01,CatN vCluster SSL Certificate,50,Central Government,SME
24,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-05-01,CatN vCluster SSL Certificate,25,Central Government,SME
25,G-Cloud,3,INOVEM LTD,Oxfordshire PCT,2012-05-01,,10800,Health,SME
26,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Department For Business Innovation And Skills,2012-05-01,150 Huddle User Licences,12000,Central Government,SME
27,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Wolverhampton City PCT,2012-05-01,40 Huddle User Licences,7200,Health,SME
28,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Department for Culture Media And Sport,2012-05-01,50 Huddle User Licences,6000,Central Government,SME
29,G-Cloud,3,BAYCLOUD SYSTEMS LTD,Office of Rail Regulation,2012-05-01,CookieQ compliance service for rail-reg.gov.uk,230,Central Government,SME
30,G-Cloud,3,BAYCLOUD SYSTEMS LTD,Worcester City Council,2012-05-01,CookieQ compliance service for Worcester City Council,460,Local Government,SME
31,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,Hampshire County Council,2012-05-01,Exchange Online Plan 1,77760,Local Government,Large
32,G-Cloud,4,EMERGN LTD,Student Loans Company Limited,2012-05-01,Agile Coaching,37050,Central Government,SME
33,G-Cloud,4,EMERGN LTD,Highways Agency,2012-05-01,Agile Strategy Development,8000,Central Government,SME
34,G-Cloud,4,BAYCLOUD SYSTEMS LTD,Devon County Council,2012-05-01,Cookie Audit for devon.gov.uk,150,Local Government,SME
35,G-Cloud,4,BAYCLOUD SYSTEMS LTD,City of London Corporation,2012-05-01,Cookie Audit of Corporation websites,600,Local Government,SME
36,G-Cloud,4,BAYCLOUD SYSTEMS LTD,Cabinet Office,2012-05-01,Cookie audit of number10.gov.uk,150,Central Government,SME
37,G-Cloud,4,4C Strategies Ltd,Hampshire Fire and Rescue Service,2012-05-01,G Cloud Consultancy,999.25,Fire and Rescue,SME
38,G-Cloud,4,CADENCE PARTNERSHIP LLP,ESTYN,2012-05-01,G-Cloud Strategy and Planning,1560,Devolved Administrations,SME
39,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-06-01,Cloud firewall,160,Central Government,SME
40,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-06-01,Virtual server,240,Central Government,SME
41,G-Cloud,2,FUBRA LTD,Wales Office,2012-06-01,CatN vCluster Lite Subscription,10,Central Government,SME
42,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-06-01,CatN vCluster Lite Subscription,5,Central Government,SME
43,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-06-01,CatN vCluster Lite Subscription,5,Central Government,SME
44,G-Cloud,2,FUBRA LTD,Wales Office,2012-06-01,CatN vCluster Lite Subscription,5,Central Government,SME
45,G-Cloud,2,FUBRA LTD,Wales Office,2012-06-01,CatN vCluster Pro Subscription,25,Central Government,SME
46,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-06-01,CatN vCluster SSL Certificate,25,Central Government,SME
47,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-06-01,CatN vCluster SSL Certificate,50,Central Government,SME
48,G-Cloud,2,THE DEXTROUS WEB LTD TRADING AS DXW,Ministry of Justice,2012-06-01,dxw's WordPress Platform,2175,Central Government,SME
49,G-Cloud,3,LEARNING POOL,Cambridgeshire Fire and Rescue Service,2012-06-01,12 Mth LP Essential,20000,Fire and Rescue,SME
50,G-Cloud,3,LEARNING POOL,Connexions Northampton Partnership Limited,2012-06-01,12 Mth LP Essential,30000,Not for Profit,SME
51,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Forestry Commission,2012-06-01,150 Huddle User Licences,3404,Central Government,SME
52,G-Cloud,3,RISKEX LTD.,Luton Borough Council,2012-06-01,AssessNET Accident/Incident Reporting Module,9995,Local Government,SME
53,G-Cloud,3,BravoSolution,Crown Estate,2012-06-01,eEvaluation Consultancy,7259,Central Government,Large
54,G-Cloud,3,BravoSolution,Nuclear Decommissioning Authority,2012-06-01,eEvaluation Licences and consultancy,47000,Central Government,Large
55,G-Cloud,3,JADU LTD,Suffolk County Council,2012-06-01,Jadu Universe Mobile,11988,Local Government,SME
56,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,Microsoft Office 365 (Plan E1),1363.5,Health,Large
57,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,Microsoft Office 365 (Plan E1),1363.5,Health,Large
58,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,Microsoft Office 365 (Plan E2),234,Health,Large
59,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,Microsoft Office 365 (Plan E2),234,Health,Large
60,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,Microsoft Office 365 (Plan K1),1774.08,Health,Large
61,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,Microsoft Office 365 (Plan K1),1774.08,Health,Large
62,G-Cloud,3,BACKUP TECHNOLOGY LTD,Antrim Borough Council,2012-06-01,Online Data Backup,450,Devolved Administrations,SME
63,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,SharePoint Online (Plan 2),1494.8,Health,Large
64,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-06-01,SharePoint Online (Plan 2),1494.8,Health,Large
65,G-Cloud,3,SYMANTEC LTD,Family Mosaic,2012-06-01,Symantec MessageLabs Boundary Encryption.cloud,6432,Local Government,Large
66,G-Cloud,3,SYMANTEC LTD,Family Mosaic,2012-06-01,Symantec MessageLabs Email Security Service,41478,Local Government,Large
67,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-06-01,Agile Coaching,43691,Central Government,SME
68,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-06-01,Agile Coaching,44384,Central Government,SME
69,G-Cloud,4,EMERGN LTD,Student Loans Company Limited,2012-06-01,Agile Coaching,6250,Central Government,SME
70,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-06-01,Agile Facilitation,19365,Central Government,SME
71,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-06-01,Agile Facilitation,23238,Central Government,SME
72,G-Cloud,4,APTO SOLUTIONS LTD,Cabinet Office,2012-06-01,Agile Project Services,16470,Central Government,SME
73,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-06-01,Agile Strategy,21499,Central Government,SME
74,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-06-01,Agile Strategy,33288,Central Government,SME
75,G-Cloud,4,EMERGN LTD,Driving Standards Agency,2012-06-01,Agile Training,800,Central Government,SME
76,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-06-01,Cell Lead,2850,Health,Large
77,G-Cloud,4,FODEN GREALY LTD,Cabinet Office,2012-06-01,Change Enabling Service,18750,Central Government,SME
78,G-Cloud,4,FODEN GREALY LTD,Cabinet Office,2012-06-01,Change Enabling Service,17575,Central Government,SME
79,G-Cloud,4,FODEN GREALY LTD,Cabinet Office,2012-06-01,Change Enabling Service,2475,Central Government,SME
80,G-Cloud,4,FODEN GREALY LTD,Cabinet Office,2012-06-01,Change Enabling Service,9750,Central Government,SME
81,G-Cloud,4,ONYX GROUP,Parliamentary Information Communication Technologies,2012-06-01,consultancy - set up,600,Central Government,SME
82,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-06-01,Development Manager,1925,Health,Large
83,G-Cloud,4,ONYX GROUP,Parliamentary Information Communication Technologies,2012-06-01,set up fee,85,Central Government,SME
84,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-06-01,Tech Architect,2975,Health,Large
85,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-06-01,Test Manager,3500,Health,Large
86,G-Cloud,4,Quo Imus Ltd,Student Loans Company Limited,2012-06-01,Testing,5536,Central Government,SME
87,G-Cloud,4,Quo Imus Ltd,Student Loans Company Limited,2012-06-01,Testing,5536,Central Government,SME
88,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-07-01,,429.6,Central Government,SME
89,G-Cloud,1,MEMSET LTD,ESTYN,2012-07-01,Memset Dedicated Server,726,Devolved Administrations,SME
90,G-Cloud,1,MEMSET LTD,ESTYN,2012-07-01,Miniserver VM,3237.3,Devolved Administrations,SME
91,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-07-01,CatN vCluster Lite Subscription,5,Central Government,SME
92,G-Cloud,2,FUBRA LTD,Wales Office,2012-07-01,CatN vCluster Lite Subscription,5,Central Government,SME
93,G-Cloud,2,FUBRA LTD,Wales Office,2012-07-01,CatN vCluster Pro Subscription,25,Central Government,SME
94,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Essex County Fire and Rescue Service,2012-07-01,50 Huddle User Licences,9000,Fire and Rescue,SME
95,G-Cloud,3,GOVDELIVERY INC,Home Office,2012-07-01,Digital Communication Management Platform,2043.75,Central Government,SME
96,G-Cloud,3,GOVDELIVERY INC,Home Office,2012-07-01,Digital Communication Management Platform,5700,Central Government,SME
97,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,Department for International Development,2012-07-01,Microsoft Dynamics CRM Online Professional,4225.32,Central Government,Large
98,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-07-01,Microsoft Office 365 (Plan E1),1363.5,Health,Large
99,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-07-01,Microsoft Office 365 (Plan E2),234,Health,Large
100,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-07-01,Microsoft Office 365 (Plan K1),13268.48,Health,Large
101,G-Cloud,3,BACKUP TECHNOLOGY LTD,Antrim Borough Council,2012-07-01,Online Data Backup,450,Devolved Administrations,SME
102,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-07-01,SharePoint Online (Plan 2),1494.8,Health,Large
103,G-Cloud,3,SQUIZ UK LTD,HM Land Registry,2012-07-01,Standard SSL Certificate,200,Central Government,Large
104,G-Cloud,4,Quo Imus Ltd,Student Loans Company Limited,2012-07-01,,31832,Central Government,SME
105,G-Cloud,4,North Highland UK Ltd,Home Office,2012-07-01,,10710,Central Government,Large
106,G-Cloud,4,4C Strategies Ltd,Hampshire Fire and Rescue Service,2012-07-01,,999.25,Fire and Rescue,SME
107,G-Cloud,4,AMETHYST RISK MANAGEMENT LTD,Crown Commercial Service,2012-07-01,,4349.4,Central Government,SME
108,G-Cloud,4,AMETHYST RISK MANAGEMENT LTD,Crown Commercial Service,2012-07-01,,3601.1,Central Government,SME
109,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-07-01,Agile Coaching,51319,Central Government,SME
110,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-07-01,Agile Coaching,47158,Central Government,SME
111,G-Cloud,4,EMERGN LTD,Student Loans Company Limited,2012-07-01,Agile Coaching,5200,Central Government,SME
112,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-07-01,Agile Facilitation,19365,Central Government,SME
113,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-07-01,Agile Facilitation,30984,Central Government,SME
114,G-Cloud,4,APTO SOLUTIONS LTD,Cabinet Office,2012-07-01,Agile Project Services,24570,Central Government,SME
115,G-Cloud,4,EMERGN LTD,Ministry of Justice,2012-07-01,Agile Strategy,19600,Central Government,SME
116,G-Cloud,4,EMERGN LTD,Ministry of Justice,2012-07-01,Agile Strategy,5600,Central Government,SME
117,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-07-01,Agile Strategy,35369,Central Government,SME
118,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-07-01,Agile Strategy,28434,Central Government,SME
119,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Cell Lead,12112.5,Health,Large
120,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Developer,6435,Health,Large
121,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Developer,3465,Health,Large
122,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Developer,3465,Health,Large
123,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Development Manager,15225,Health,Large
124,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Expenses - 4GB Memory,14.6,Health,Large
125,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Expenses - JIRA/GreenHopper Licenses,1184.63,Health,Large
126,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Tech Architect,13650,Health,Large
127,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-07-01,Test Manager,14700,Health,Large
128,G-Cloud,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2012-08-01,,430.7,Central Government,SME
129,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,300.95,Devolved Administrations,SME
130,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,300.95,Devolved Administrations,SME
131,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,212.95,Devolved Administrations,SME
132,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,212.95,Devolved Administrations,SME
133,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,300.95,Devolved Administrations,SME
134,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,177.95,Devolved Administrations,SME
135,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,212.95,Devolved Administrations,SME
136,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,399,Devolved Administrations,SME
137,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,177.95,Devolved Administrations,SME
138,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,300.95,Devolved Administrations,SME
139,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,177.95,Devolved Administrations,SME
140,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,142.95,Devolved Administrations,SME
141,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,177.95,Devolved Administrations,SME
142,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,177.95,Devolved Administrations,SME
143,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,212.95,Devolved Administrations,SME
144,G-Cloud,1,MEMSET LTD,ESTYN,2012-08-01,,327,Devolved Administrations,SME
145,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-08-01,application licensing for Cloud,129.6,Central Government,SME
146,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-08-01,virtual firewall,120,Central Government,SME
147,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-08-01,Virtual server support,540,Central Government,SME
148,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-08-01,virtual servers,180,Central Government,SME
149,G-Cloud,2,THE DEXTROUS WEB LTD TRADING AS DXW,Department For Business Innovation And Skills,2012-08-01,BIS WordPress sites hosting and support (PO 14083380),560,Central Government,SME
150,G-Cloud,2,THE DEXTROUS WEB LTD TRADING AS DXW,Department For Business Innovation And Skills,2012-08-01,BIS WordPress sites hosting and support (PO 14083380),1600,Central Government,SME
151,G-Cloud,2,FUBRA LTD,Department for Culture Media And Sport,2012-08-01,CatN vCluster Lite Subscription,5,Central Government,SME
152,G-Cloud,2,FUBRA LTD,Wales Office,2012-08-01,CatN vCluster Lite Subscription,5,Central Government,SME
153,G-Cloud,2,FUBRA LTD,Wales Office,2012-08-01,CatN vCluster Pro Subscription,25,Central Government,SME
154,G-Cloud,2,THE DEXTROUS WEB LTD TRADING AS DXW,Department For Business Innovation And Skills,2012-08-01,Migration of BIS WordPress sites to dxw Platform (PO 14083380),2750,Central Government,SME
155,G-Cloud,2,THE DEXTROUS WEB LTD TRADING AS DXW,Ministry of Justice,2012-08-01,MOJ ICT (The Loop) hosting & support (PO 10000030872),725,Central Government,SME
156,G-Cloud,2,THE DEXTROUS WEB LTD TRADING AS DXW,Ministry of Justice,2012-08-01,MOJ ICT (The Loop) hosting & support (PO 10000030872),725,Central Government,SME
157,G-Cloud,2,THE DEXTROUS WEB LTD TRADING AS DXW,Ministry of Justice,2012-08-01,MOJ ICT (The Loop) short iteration (PO 10000030872),5400,Central Government,SME
158,G-Cloud,3,ARCUS GLOBAL LTD,House of Commons,2012-08-01,,115,Central Government,SME
159,G-Cloud,3,LEARNING POOL,Lincolnshire County Council,2012-08-01,12 Mth LP Total,35000,Local Government,SME
160,G-Cloud,3,NINIAN SOLUTIONS LTD T/A HUDDLE,Ordnance Survey,2012-08-01,15 Huddle User Licences,2700,Central Government,SME
161,G-Cloud,3,INOVEM LTD,Devon County Council,2012-08-01,INOVEM Collaborate (aka Kahootz),3450,Local Government,SME
162,G-Cloud,3,INOVEM LTD,The Royal Marsden NHS Foundation Trust,2012-08-01,INOVEM Collaborate (aka Kahootz),14300,Health,SME
163,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-08-01,Microsoft Office 365 (Plan E1),1363.5,Health,Large
164,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-08-01,Microsoft Office 365 (Plan E2),234,Health,Large
165,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-08-01,Microsoft Office 365 (Plan K1),8165.16,Health,Large
166,G-Cloud,3,SQUIZ UK LTD,University of Hertfordshire,2012-08-01,milestone 1,177020,Education,Large
167,G-Cloud,3,BACKUP TECHNOLOGY LTD,Antrim Borough Council,2012-08-01,Online Data Backup,450,Devolved Administrations,SME
168,G-Cloud,3,MICROSOFT IRELAND OPERATIONS LTD,West Midlands Ambulance Service NHS Trust,2012-08-01,SharePoint Online (Plan 2),1494.8,Health,Large
169,G-Cloud,3,SKYDOX LTD,Information Commissioner’s Office,2012-08-01,SkyDox Business Edition,300,Central Government,SME
170,G-Cloud,4,North Highland UK Ltd,Home Office,2012-08-01,,9180,Central Government,Large
171,G-Cloud,4,AMETHYST RISK MANAGEMENT LTD,Crown Commercial Service,2012-08-01,,2150,Central Government,SME
172,G-Cloud,4,EMERGN LTD,Department for International Development,2012-08-01,Agile Coaching,11250,Central Government,SME
173,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-08-01,Agile Coaching,56867,Central Government,SME
174,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-08-01,Agile Coaching,44384,Central Government,SME
175,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-08-01,Agile Coaching,67963,Central Government,SME
176,G-Cloud,4,EMERGN LTD,Student Loans Company Limited,2012-08-01,Agile Coaching,12500,Central Government,SME
177,G-Cloud,4,EMERGN LTD,Student Loans Company Limited,2012-08-01,Agile Delivery,13600,Central Government,SME
178,G-Cloud,4,EMERGN LTD,Student Loans Company Limited,2012-08-01,Agile Delivery,1600,Central Government,SME
179,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-08-01,Agile Facilitation,27111,Central Government,SME
180,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-08-01,Agile Facilitation,28402,Central Government,SME
181,G-Cloud,4,APTO SOLUTIONS LTD,Cabinet Office,2012-08-01,Agile Project Services,31860,Central Government,SME
182,G-Cloud,4,EMERGN LTD,Department for Work And Pensions,2012-08-01,Agile Strategy,40916.5,Central Government,SME
183,G-Cloud,4,EMERGN LTD,Department Of Energy And Climate Change,2012-08-01,Agile Strategy,3200,Central Government,SME
184,G-Cloud,4,EMERGN LTD,Durham Constabulary,2012-08-01,Agile Strategy Development,7300,Police,SME
185,G-Cloud,4,EMERGN LTD,Department for International Development,2012-08-01,Agile Training,800,Central Government,SME
186,G-Cloud,4,EMERGN LTD,Maritime and Coastguard Agency,2012-08-01,Agile Training,1600,Central Government,SME
187,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Cell Lead,9690,Health,Large
188,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Cell Lead,5130,Health,Large
189,G-Cloud,4,5NINES DATA CENTRES LTD,University of the Arts London,2012-08-01,Co-Location,10500,Education,SME
190,G-Cloud,4,BAYCLOUD SYSTEMS LTD,Met Office,2012-08-01,Cookie audit of metoffice.gov.uk,150,Central Government,SME
191,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Developer,6930,Health,Large
192,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Developer,10890,Health,Large
193,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Developer,6435,Health,Large
194,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Developer,5940,Health,Large
195,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Developer,9405,Health,Large
196,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Developer,6435,Health,Large
197,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Development Management,10150,Health,Large
198,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Technical Architect,11550,Health,Large
199,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Technical Test,3712.5,Health,Large
200,G-Cloud,4,BJSS LTD,NHS Connecting for Health,2012-08-01,Test Manager,7175,Health,Large
201,G-Cloud,4,Quo Imus Ltd,Student Loans Company Limited,2012-08-01,Testing,44288,Central Government,SME
202,G-Cloud,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2012-09-01,GEMS PoC Hosting,368.45,Central Government,SME
203,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Memset Dedicated Server,327,Devolved Administrations,SME
204,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,300.95,Devolved Administrations,SME
205,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,212.95,Devolved Administrations,SME
206,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,212.95,Devolved Administrations,SME
207,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,212.95,Devolved Administrations,SME
208,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,300.95,Devolved Administrations,SME
209,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,142.95,Devolved Administrations,SME
210,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,300.95,Devolved Administrations,SME
211,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,212.95,Devolved Administrations,SME
212,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,300.95,Devolved Administrations,SME
213,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,177.95,Devolved Administrations,SME
214,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,177.95,Devolved Administrations,SME
215,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,177.95,Devolved Administrations,SME
216,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,177.95,Devolved Administrations,SME
217,G-Cloud,1,MEMSET LTD,ESTYN,2012-09-01,Miniserver VM,177.95,Devolved Administrations,SME
218,G-Cloud,1,ONYX GROUP,Parliamentary Information Communication Technologies,2012-09-01,Virtual server support,540,Central Government,SME
219,G-Cloud,1,SKYSCAPE CLOUD SERVICES LTD,Cabinet Office,2012-09-01,Web hosting services,7571.03,Central Government,SME
